Term	Definition
VPN hardware device	Device specifically designed to create VPNs or network devices with added VPN functionality. They include VPN concentrators, routers, and firewalls.
VPN, host-to-host	Host-to-host VPN is when two remote users need to connect securely to each other. This user-to-user or device-to-device interaction doesn’t require a complex encryption solution. Both host devices use VPN software. Traffic that needs to traverse the internet is encrypted by the sender’s VPN and then decrypted by the receiver’s VPN. (See VPN, or virtual private network.)
VPN, host-to-site	Host-to-site VPN is when a remote user needs to connect securely to a site. The host device uses VPN software while the site uses a VPN device or software to protect its internal network. Traffic that needs to traverse the internet is encrypted by the sender’s VPN and then decrypted by the receiver’s VPN, which then receives the traffic if the host is the receiver, or routes it to its intended recipient if the site is the receiver. (See VPN.)
VPN, site-to-site	Site-to-site VPN is when two sites connect across an existing internet connection with a VPN device. Each site’s internal network traffic is unencrypted. Traffic that needs to traverse the internet is encrypted by the origination site’s VPN and then decrypted by the receiving site’s VPN device, which then routes the traffic to its intended recipient. (See VPN.)
Whois Lookup tool	Online tool that shows who owns a site.
Windows Defender	Pre-loaded anti-malware software from Microsoft. Windows Defender protects your computer against viruses and malware for free. It also integrates with the built-in firewall that comes with the Windows operating system and is enabled by default. However, Windows Defender does not perform VPN functions.
Wiretapping	Covertly intercepting phone-based and internet-based telecommunications. Any type of traffic is a target: computer transmissions, phone calls, texts, social media updates, and fax transmissions. This can be done legally with a warrant, or it can be used illegally in cyberattacks. Wiretapping only involves listening. It cannot alter or stop data. Wiretapping is also known as lawful interception.
Worms	Viruses that start themselves after identifying system weaknesses. They don’t rely on apps or files. Unlike viruses, worms can be controlled remotely.

IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 1 of 44 
Glossary 
 
Module 1: Data and Privacy ............................................................................................................ 2 
Module 2: Governance, Risk, and Compliance .............................................................................. 7 
Module 3: Threats and Vulnerabilities ......................................................................................... 11 
Module 4: Vulnerability Management .......................................................................................... 14 
Module 5: System Security ........................................................................................................... 17 
Module 6: Network Security ......................................................................................................... 21 
Module 7: Cloud Computing and Virtualization ........................................................................... 26 
Module 8: Securing Cloud Infrastructure..................................................................................... 29 
Module 9: Security Operations ..................................................................................................... 32 
Module 10: Security Monitoring ................................................................................................... 35 
Module 11: Incident Response .................................................................................................... 38 
Module 12: Digital System Forensics ........................................................................................... 40 
Module 13: Emerging Threats and the Future of Cybersecurity Technologies ........................... 43 
 
  
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 2 of 44 
Module 1: Data and Privacy 
Term Definition 
Administrative 
controls 
Guidelines, policies, and procedures written to meet and enforce 
security goals. 
Antimalware 
(antivirus) 
software 
Software that detects, quarantines, and destroys malware that 
threatens data or networks. 
Asymmetric 
encryption 
An encryption process that involves using two keys: a public key to 
encrypt data and a private key to decrypt it. 
Availability An objective of the CIA triad that means ensuring timely and reliable 
access to and use of data. 
Authentication A measure to verify the source of a message. 
A1Z26 cipher An encryption process that replaces each plaintext letter with a 
number corresponding to that letter’s order in the alphabet 
Backup software Software that creates extra copies of data that can be used to recover 
critical data lost due to breaches, system failures, or other security 
events. 
Brute force attack A cyberattack in which the attacker tries different passwords until they 
find one that works. 
Caesar cipher An encryption process that replaces each plaintext letter with the 
letter three places before or after it in the alphabet. 
CIA triad An information security model with confidentiality, integrity, and 
availability as the objectives of data protection. 
Cipher A set of transformations that convert plaintext, the intelligible, human
readable data, into ciphertext, the data’s encrypted form. 
Cloud DLP A type of data loss prevention that involves detecting and encrypting 
sensitive data before it is stored in the cloud. 
Confidential data Data that an organization protects from unauthorized access, such as 
proprietary information, source code, employee records, personally 
identifiable information (PII), and protected health information (PHI). 
Confidentiality An objective of the CIA triad that means protecting data by ensuring 
that only authorized people can access or disclose it. 
Control A measure that you can take to mitigate risks. Controls come in three 
types: administrative, physical, and technical. 
Cyberattacker 
(attacker) 
A hacker who tries to bypass system or network security to access 
data without authorization for malicious purposes. 
Data at rest Data residing in a storage device. 
Data erasure 
software 
Software that permanently clears a repository’s unneeded or unused 
data. 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 3 of 44 
Term Definition 
Data in motion 
(Data in transit) 
Data that is actively moving across a network or between systems. 
Data in use Data that a computer or application is actively using and processing. 
Data loss 
prevention (DLP) 
systems  
Processes, procedures, and tools that help detect and prevent data 
loss. 
Data privacy Data security focused only on preventing unauthorized collection, 
disclosure, or use of customers’ and employees’ private data. 
Data security How an organization protects confidential data from unauthorized 
access, disclosure, or destruction. 
Differential 
backups 
A data backup process that starts with a full backup, and then each 
additional backup includes only the changes made since the last full 
backup. 
Encryption Technical control that ensures data confidentiality by converting 
readable data into an unreadable form. 
Encryption 
software 
Software that converts data into a format that unauthorized people 
cannot understand, preserving confidentiality. 
Endpoint DLP A system that monitors all endpoints for data loss or leakage. 
File encryption The process of encrypting files or file systems so that only those with 
the key can access them. 
File-level DLP A system that identifies sensitive files in a file system. 
Full backups A data backup process in which you copy the entire content of your 
system or device. 
Full drive 
encryption 
The process of encrypting an entire hard disk, including its data, files, 
programs, and operating system. 
Generally 
Accepted Privacy 
Principles (GAPP) 
A standard for data privacy developed by the American Institute of 
Certified Public Accountants (AICPA) and the Canadian Institute of 
Chartered Accountants (CICA). 
Hacker Someone who tries to bypass system or network security to access 
data. 
Hard disk 
encryption 
The process of encrypting data stored on a hard disk and new files 
being added. 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 4 of 44 
Term Definition 
Incremental 
backups 
A data backup process that captures only the changes made since the 
last backup. 
Integrity An objective of the CIA triad that means protecting data from 
unauthorized modification and destruction to ensure it is trustworthy 
and accurate. 
Malware Software or firmware intended to conduct unauthorized actions that 
negatively affect system security. 
Monoalphabetic 
cipher 
An encryption process that replaces each plaintext letter with another 
letter in the alphabet. For example, maybe all A’s become Z’s and all 
B’s become Y’s. 
Network DLP A system that protects data at rest, in motion, or in use on an 
organization’s network. 
Network 
encryption 
Encryption used to protect sensitive data in motion between the server 
and the client. 
Non-repudiation Assurrance that neither the sender nor the receiver of a message can 
deny its transmission; the sender receives proof of delivery, and the 
receiver receives proof of the sender’s identity. 
Personally 
identifiable 
information (PII) 
Private data that can be used to identify someone, such as birthdays, 
addresses, phone numbers, and government-issued ID numbers. 
Physical controls Devices or structures designed to restrict access to areas or devices 
containing sensitive data. Common examples include fences, locks, 
key cards, security cameras, alarms, and cabinets. 
Private data Data about a person and their private life that other parties should not 
be able to collect, use, or disclose unless authorized. Some examples 
include financial activity, credit card numbers, email login credentials, 
personally identifiable information (PII), and protected health 
information (PHI). 
Proprietary data Organization-owned or organization-generated data relevant to the 
organization’s products or actions that must remain confidential. 
Protected health 
information (PHI) 
Private data in medical records used to identify someone, such as 
diagnoses, test results, prescriptions, and health insurance 
information. 
Public data Data that anyone can access, use, and redistribute without restriction. 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Term 
Definition 
Symmetric 
encryption 
An encryption process that involves using a single private key to 
encrypt and decrypt data. 
Technical controls 
Hardware or software that helps secure data or processes. Common 
examples include antimalware software and encryption software. 
Threat 
Something that can cause harm to a network, system, or data. 
Vulnerability 
A weakness in hardware, firmware, or software that a hacker can 
exploit. 
Questions I have 
Example: What is the difference between confidential data and private data? 
Page 5 of 44 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
My notes 
Example: Confidential data is data that an organization protects from unauthorized access, 
such as proprietary information, source code, employee records, personally identifiable 
information (PII), and protected health information (PHI). 
Private data is a type of confidential data. Specifically, it’s confidential data about a person, 
such as login credentials, credit card numbers, and medical test results. 
Page 6 of 44 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 7 of 44 
Module 2: Governance, Risk, and Compliance 
Term Definition 
California 
Consumer Privacy 
Act (CCPA) 
A data privacy law that applies to any organization that does business 
in California and must share with customers the data it collects about 
them and their children. 
Compliance 
controls 
Risk-based controls that companies implement to protect 
confidentiality, integrity, and availability of data and comply with laws, 
regulations, and standards. 
Compliance (in 
cybersecurity) 
An organization’s adherence to applicable laws, regulations, and 
standards designed to keep data and systems safe from cyberthreats. 
Disaster 
preparedness plan 
A written plan that lists the precautions that an organization takes to 
prevent or mitigate the harm that disasters cause. 
Disaster recovery 
plan (DRP) 
A written plan for recovering data or systems if a disaster occurs. 
Federal 
Educational Rights 
and Privacy Act 
(FERPA) 
A US federal law designed to keep student education records private. 
The law requires that schools implement appropriate controls, such as 
policies, procedures, and training, to prevent unauthorized access, 
disclosure, and use of those records. 
General Data 
Protection 
Regulation (GDPR) 
An extensive data privacy law and regulation that applies to any 
company that hosts the data of EU residents or does business with EU 
countries. 
Gramm-Leach
Bliley Act (GLBA) 
A US federal law that requires financial institutions and companies that 
offer US consumers financial products or services to disclose their 
data-sharing practices to customers. 
Governance The process of making and enforcing decisions within an organization. 
It defines how a governing body structures and sustains rules, norms, 
and actions and how it holds everyone accountable for them. 
Governance, risk, 
and compliance 
(GRC) 
A structured way to align an organization’s business goals with its 
recognition of risk and risk mitigation to meet all government and 
industry regulations and standards. 
Guideline A recommended, not required, way to perform a task at an 
organization. For example, a company guideline might be that 
employees use a specific PowerPoint template for all internal 
meetings. But if an employee violates this guideline, they’ll probably 
receive a reminder, not a punishment. 
Health Insurance 
Portability and 
Accountability Act 
(HIPAA) 
A US federal law that defines the control of protected health 
information (PHI), such as medical records and diagnoses. HIPAA’s 
Privacy Rule places strict restrictions on access and disclosure of 
someone’s PHI. HIPAA’s Security Rule establishes standards for 
protecting PHI. 
IEEE 802 
networking 
standards 
Industry-standard guidance for securing area networks of various 
sizes. For example, the standards cover network access, encryption, 
and threat detection. 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 8 of 44 
Term Definition 
ISO 2700 and ISO 
27001 
International standards for a wide range of cybersecurity topics, such 
as assessing risks, creating information security management systems, 
and deploying security controls. 
Law A legal requirement established by a congress, parliament, or other 
legislative group. Laws tend to be broad in scope. Violating them can 
lead to penalties, fines, and other legal consequences. In the context 
of cybersecurity, laws protect data and punish those who violate its 
confidentiality, integrity, or availability without proper authorization. 
Multiparty risks Risks that impact more than one organization. A common example is 
an internet or service provider outage. 
National Institute 
of Standards and 
Technology (NIST) 
A US federal agency dedicated to advancing American technology and 
innovation that provides extensive cybersecurity resources, including 
hundreds of cybersecurity and data privacy standards. 
NIST risk 
management 
framework (RMF) 
A comprehensive, repeatable, and measurable approach to managing 
data security and privacy risk. It includes seven steps. 
NYDFS 
Cybersecurity 
Regulation 
A New York state regulation that requires financial institutions doing 
business in the state to perform risk management. 
Payment Card 
Industry Data 
Security Standard 
(PCI DSS) 
A data security standard for credit cards that applies to organizations 
storing or transmitting credit card data. 
Procedure Step-by-step processes for completing a task to meet a standard or 
guideline. 
Policy A broad statement about the overall intent of an organization and how 
it should be run, including details about the organization’s goals, 
intentions, and values that the organization must defend with the 
security framework. 
Regulation A legal requirement, established by a government agency, intended to 
interpret and implement a law. Regulations clarify what organizations 
must do to stay within the law. Non-compliance with regulations can 
lead to penalties, fines, and other legal consequences. 
Risk The extent to which a potential cyberattack or other event threatens an 
organization’s operations. 
Risk assessment A process of identifying risks, evaluating their impact, and deciding 
what to do about them. 
Risk management Process of identifying, assessing, and controlling financial, legal, 
strategic, and security risks to an organization’s capital and earnings. 
Risk tolerance Level of risk or degree of uncertainty that is acceptable to 
organizations. 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Term 
Definition 
Standard (in 
compliance) 
A set of guidelines or best practices created by experts, industry 
groups, or governments that organizations might follow. 
Standard (in 
governance) 
A measurable requirement that all employees in an organization must 
follow. Common examples include configuration settings for devices or 
requirements for using company equipment. 
Questions I have 
Page 9 of 44 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
My notes 
Page 10 of 44 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 11 of 44 
Module 3: Threats and Vulnerabilities 
Term Definition 
Adware Advertising-supported software that automatically displays unsolicited 
advertisements on a device. 
Bot (standard 
definition) 
A program that performs automated tasks over a network. A common 
example is a chatbot performing customer service. 
Bot (specifically, a 
malicious bot or 
zombie) 
An internet-connected device infected with malware that enables the 
attacker to control the device remotely. Often referred to as a bot in 
cybersecurity. 
Botnet A network of malicious bots that an attacker controls under the same 
instance to launch cyberattacks. 
Defense in depth A strategy in which you use multiple layers of security controls to 
protect assets. For example, an employee might have to pass physical 
controls, such as a security guard and security cameras, before 
successfully entering their login credentials, a technical control. 
Door access 
control systems 
Systems that restrict entrance to only those with the correct 
credentials. 
Dumpster diving When someone searches a person’s or organization’s trash for 
confidential information. 
Electromagnetic 
interference (EMI) 
Interference caused by electromagnetic radiation that can hinder 
hardware performance. EMI typically comes from electronic devices, 
such as computers, cell phones, microwaves, and LED lights. 
EMI shielding A technique that encloses equipment, such as audio-video (AV) and 
ethernet cables, within conductive or magnetic materials to block 
external electromagnetic waves. 
Keylogger Spyware that records each keystroke that you make on your device. 
Logic bomb Malware saved in a file or embedded in software that activates only 
when specific conditions are met, such as a specific time of the day. 
Malware Software designed to threaten the confidentiality, integrity, or 
availability of data or systems. 
Malwarebytes An antimalware program that detects and removes malware such as 
viruses, exploits, and ransomware. 
Malware signature A pattern of attributes that corresponds to known malware. When 
antimalware software identifies a signature in a file, the software 
deletes the file, quarantines it, or alerts you that the file might be 
infected. 
Patch 
management 
The process of updating software to add new features or fix 
vulnerabilities. 
Phishing The practice of sending messages, seemingly from a legitimate 
organization, to trick users into providing confidential information. 
Physical threat A direct threat to assets, such as unauthorized intrusion into a 
restricted area and natural hazards such as fires. 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 12 of 44 
Term Definition 
Shoulder surfing When an attacker steals your personal information by looking over your 
shoulder as you use a computer or device. 
Social engineering The use of deception to trick people into divulging confidential or 
private information for fraudulent purposes. 
Spear phishing A type of phishing that targets a specific person, group, or organization. 
Tailgating When an unauthorized person enters a restricted area by following 
behind an authorized person. 
Ransomware Malware that holds your system hostage, infects it, restricts access to 
it or its data, and instructs you to pay a ransom to regain access. 
Spyware Malware installed secretly on a device or system to collect and report 
data, such as keystrokes, web browsing habits, download history, and 
other internet behavior. 
Trojan A seemingly helpful program designed to give an attacker access to a 
device secretly to control remotely, steal data, spy on activity, install 
malware, or perform other malicious actions. 
Virus Malware that attaches to a device’s files or programs to replicate itself 
and then spreads to another device. 
Worms Malware that self-replicates without needing a host device’s files or 
programs and then spreads across systems. 
Zero-day 
vulnerability 
A previously unknown security flaw in software that haven’t been fixed. 
 
Questions I have 
 
 
 
 
 
 
 
 
 
 
 
 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
My notes 
Page 13 of 44 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 14 of 44 
Module 4: Vulnerability Management 
Term Definition 
Cross-site 
scripting (XSS) 
An attack that inserts malicious code into a client web page. When a 
user accesses the page, their browser recognizes the code as coming 
from a trusted site, enabling the code to run. 
Cyberattacker Someone who tries to bypass system or network security without 
authorization for malicious purposes. 
Ethical hacker or 
offensive security 
researcher 
A hacker who works with organizations to identify and fix 
vulnerabilities, not exploit them for malicious purposes. 
Exploitation 
frameworks 
Tools that provide repositories of prebuilt cyberattacks and exploits. 
For example, with the Metasploit application, you can search for 
attacks tailored to a specific version of an OS that you want to target 
and then let Metasploit perform the attack. 
Expression A combination of code components that a program can interpret and 
use. 
Footprinting or 
reconnaissance 
The act of profiling a system and its users to gather threat intelligence. 
For example, a pen tester might collect a network’s IP addresses and 
domain names and determine its topology. 
Host A device, such as a server or laptop, that can communicate with other 
devices on a network and grant access to devices outside the network. 
Indicators of 
compromise 
(IOCs) 
The symptoms or evidence of a cyberattack. For example, the subject 
line of a suspicious email might match that of a known phishing scam. 
Intelligence Information and knowledge about an adversary obtained through 
observation, investigation, analysis, or understanding. 
JavaScript Object 
Notation (JSON) 
A standard text-based data format that uses human-readable text that 
can be easily stored and transmitted using an automated system. 
Network mappers Tools to find and map out all devices on a network and discover data 
about each device, such as its IP address. 
Open port A network port that accepts a connection. Attackers want to find and 
exploit open ports, while network administrators want to close or block 
them while ensuring that legitimate users still have access. 
Open-source 
intelligence 
(OSINT) 
Intelligence that anyone can create from publicly available 
information. Common sources of OSINT include blogs, libraries, news 
organizations, company websites, social media, and public records. 
Operational 
intelligence 
Intelligence that helps security teams anticipate and prevent future 
attacks. 
OWASP ZAP A free, open-source vulnerability scanner and penetration testing tool 
designed for testing a web application’s security. 
Packet analyzer A tool that captures and inspects data in transit across a network. 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 15 of 44 
Term Definition 
Penetration testing A type of security testing that simulates real hacking techniques to find 
application, network, or system vulnerabilities that attackers can 
exploit. 
Port scanner A program that identifies a network’s open or available ports. 
Spider or web 
crawler 
A program that searches and indexes web content. 
Strategic 
intelligence 
High-level intelligence about current worldwide trends in cyberthreats. 
Structured Threat 
Information 
Expression (STIX) 
An open-source programming language that provides a standardized 
format for sharing threat intelligence. 
SQL injection A cyberattack that places malicious code into a Structured Query 
Language (SQL) statement through an application or web page. 
Attackers typically use a user input request, such as a username, to 
enter the SQL statement, which runs on the server database. 
Tactical 
intelligence 
Intelligence that helps security teams detect and respond to 
cyberattacks in real time. 
Threat actor 
(malicious actor) 
An entity, such as a person, group, or organization, that poses a 
cybersecurity threat. 
Threat intelligence Intelligence that helps organizations make informed decisions about 
cybersecurity threats. 
Vulnerability 
assessment 
A systematic process in which you identify and evaluate system, 
network, or application vulnerabilities to determine security risk. 
Vulnerability scan A software-assisted evaluation of a system for known vulnerabilities. 
Vulnerability 
scanner 
An application that scans a system for known vulnerabilities. 
 
Questions I have 
 
 
 
 
 
 
 
 
 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
My notes 
Page 16 of 44 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 17 of 44 
Module 5: System Security 
Term Definition 
Application server A server that connects clients to software applications through virtual 
server connections. 
Bootkit Malware that infects a computer’s boot loader or master boot record 
(MBR), which is responsible for starting the operating system. 
Boot program Software that loads the operating system into the computer, allowing 
applications to interact with its hardware. 
Client A device connected to a network. 
Collaboration server A server that allows multiple users to share and store files, 
applications, and large amounts of data. 
Common Weakness 
Enumeration (CWE) 
A community-developed list of software weaknesses that can lead to 
security vulnerabilities in firmware. 
Database server A server that functions as a large storage space that the organization 
uses and accesses to run multiple programs. 
Domain name 
system (DNS) 
server 
A server that transforms readable computer domain names into 
computer language internet protocol (IP) addresses, taking search 
data from a user to find the requested address to deliver to another 
device. 
File server A server that stores data files for multiple users and allows for faster 
data retrieval. 
Firmware A critical computer program embedded in a device for controlling its 
specific hardware functions, such as system startup and interacting 
with a router. 
File transfer 
protocol (FTP) 
server 
A server that relocates files from one computer to another. File 
transfer protocol also refers to using a server to connect one 
computer to another to share data safely. 
Gaming server A server that hosts multiplayer online games. Large gaming networks 
use servers to connect users from around the world. 
High-level firmware Firmware used with flash memory chips for updating and typically has 
more complex instructions than low-level firmware. 
Jailbreaking A method used to gain access to the underlying operating system of 
an iPhone. 
Kernel Software that manages essential components of the operating 
system, such as managing memory and device drivers and scheduling 
processes, and ensures proper coordination between hardware and 
software. 
Low-level firmware Firmware stored on a non-volatile memory chip, such as read-only 
memory (ROM). It provides the most basic control for a device’s 
hardware, typically managing the hardware’s initial startup processes. 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 18 of 44 
Term Definition 
Mail server A server that stores and delivers mail for clients through email service 
platforms. 
Mobile OS An operating system developed specifically to run on a mobile device. 
Well-known examples include iOS and Android. 
Monitoring and 
management server 
A server designed for recording and tracking digital transactions and 
receiving user requests. 
Operating system 
(OS) 
A type of software that manages all a computer’s applications, 
programs, and hardware resources and provides a user interface for 
interacting with the computer. 
OS security Process of ensuring the OS’s confidentiality, integrity, and availability. 
It involves protecting the OS from threats, such as viruses, worms, 
malware, and remote hacker intrusions. 
Patch management Process for keeping computers and networks secure, reliable, and up
to-date with necessary features and functionality. 
Print server A server that connects remotely to local computers to print through a 
network. With these servers, organizations can use a single printer to 
serve an entire department. 
Proxy server A server that intercepts data sent by a website to then send it to a 
computer’s IP address. 
Rooting A method used to gain access to the underlying operating system of 
an Android device. 
Rootkit Malware designed to hide its presence and activities from the user 
and the operating system’s security mechanisms. 
Server A specialized device or software system that stores and processes 
data and acts as a central hub in a network, providing this data to 
other devices in the network. 
Server OS An operating system developed specifically to manage and run a 
server. Examples of widely-used server OSs include Red Hat 
Enterprise Linux Server and Windows Server. 
Software A set of instructions and data that tells a computer how to perform 
specific tasks. It includes programs and applications that help users 
accomplish various activities, such as browsing the internet, writing 
documents, or playing games. 
Subsystem 
firmware (device 
firmware) 
Specialized firmware that functions independently of the main system 
firmware. For example, a printer operates with its own firmware, but 
firmware is also embedded in the ink cartridge chip to manage 
communication with the printer about ink levels. 
System hardening The process of securing a computer system or server by mitigating 
potential vulnerabilities. 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Term 
Definition 
Web server 
A server that accesses the World Wide Web through public domain 
software. It connects the stored information from an internet website 
to the user’s computer. 
Workstation OS 
An operating system developed specifically to run on desktop or 
laptop computers. Windows, macOS, and Linux are some of the most 
well-known workstation operating systems. 
Questions I have 
Page 19 of 44 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
My notes 
Page 20 of 44 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 21 of 44 
Module 6: Network Security 
Term Definition 
Access control 
schemes 
Models for providing consistency in access control to network 
resources. 
Advanced 
Encryption 
Standard (AES) 
A type of router encryption used to secure classified information. 
Routers made after 2006 should have the option to enable AES along 
with WPA2. 
Air gap A technique for secure network design that completely isolates a 
digital device component or private network from other devices and 
networks. Air gaps frequently protect systems that need very high 
security, such as those involved with the military, utilities, or medical 
practices. 
Attribute-based 
access control 
(ABAC) scheme 
An access control model in which decisions are based on attributes 
that define the user, resource, and environment where users are 
requesting access. 
Bluesnarfing An attack that exploits Bluetooth vulnerabilities to steal information or 
use the device. 
Buffer overflow 
attack 
An attack in which a program tries to store more data in a temporary 
storage area, called a buffer, than it can handle. The overflow leaves 
the program vulnerable to more attacks, including code that crashes 
the system, damages data, or gives the attacker control of the system. 
Denial-of-service 
(DoS) attack 
An attack that interrupts a device’s normal functioning so that normal 
users can’t access it. DoS attacks typically function by flooding a 
targeted machine with requests until normal traffic can’t be processed. 
Discretionary 
access control 
(DAC) scheme 
An access control model in which every object or resource in the 
system has an owner who determines which users can access it. 
Distributed denial
of-service (DDoS) 
attack 
An attack that involves multiple connected online devices 
overwhelming a target website with fake traffic. 
DMZ A separate network that protects and adds an extra layer of security to 
an organization’s internal local area network (LAN) from untrusted 
traffic.  
Domain Name 
System (DNS) 
poisoning 
A type of spoofing in which the attacker enters fake information into 
the cache of a domain name server. The result is that users looking for 
a specific website are instead sent to one of the attacker’s choosing. 
Evil twin attack An attack in which malicious actors set up a fake wifi source to steal 
information or further infiltrate a connecting device. Attackers often 
use this strategy in public settings such as airports, cafes, or large 
public parks where people often look for freely available wifi. 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 22 of 44 
Term Definition 
Extranet A private network open to external users such as business partners, 
suppliers, and key customers. An extranet can be useful for functions 
that involve external users or the public, such as online ordering, 
electronic order tracking, and inventory management. 
Filesystem 
controls 
An access control method in which controls determine which accounts, 
users, groups, or services can perform actions such as reading, writing, 
and running files. 
Firewall A network’s gatekeeper filters traffic blocks outsiders from gaining 
unauthorized access and blocks malicious software. 
Hardware security 
module (HSM) 
A dedicated cryptographic processor that is specifically designed to 
protect the cryptographic key lifecycle. Enterprises use HSMs to 
protect transactions, identities, and applications. 
Honeypot A system that attracts attackers by acting like a network full of 
valuable resources but also contains tools for monitoring and 
performing security functions. For example, a bank’s honeypot system 
might mimic a fake login page or section of the bank’s website to 
attract attackers and gather information on their tactics. The bank can 
then use this information to train its employees on how to detect and 
prevent similar attacks and to improve security defenses. 
Intranet A private network for distributing communications exclusively to the 
organization’s internal users. 
IP spoofing A type of spoofing that involves impersonating another computer 
system by creating IP packets with false source IP addresses. This 
attack enables cybercriminals to engage in malicious activity, such as 
infecting a device with malware, stealing data, or crashing a server 
without detection. 
Jamming An attack in which malicious nodes intentionally interfere with wireless 
networks to prevent legitimate communication. A common method of 
jamming uses a device that emits electromagnetic energy that makes 
the network unusable by sending out signals and increasing noise. 
Load balancer A dedicated hardware device or an internet-facing server running a 
load balance service, distributing traffic among multiple servers and 
decrypting website traffic. Cloud load balancing is rapidly becoming 
the most popular form. 
Man-in-the-middle 
attack 
An attack in which an attacker breaks into an existing conversation or 
data transfer between two participants and pretends to be a legitimate 
participant. 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 23 of 44 
Term Definition 
Media access 
control (MAC) 
spoofing 
A type of spoofing in which someone or something intercepts or 
tampers with the control messages exchanged between a networked 
device and its unique media access control (MAC) address. Attackers 
can use many methods to do this, such as tampering with messages 
sent from legitimate access points or capturing and manipulating 
packets that contain response data before they reach their destination. 
Mandatory access 
control (MAC) 
scheme 
An access control model in which users do not have control over their 
own access rights. 
Network access 
control (NAC) 
A process for controlling and managing access to a network by 
authenticating users and devices before allowing them to connect. 
Network address 
translation (NAT) 
A process by which one unique IP address can represent multiple 
computers. A network device, often a router or NAT firewall, assigns 
this single public IP address to a computer or group of computers 
inside a private network. 
Network 
architecture 
A network’s structural and logical layout. It describes the network 
devices used, how they are connected, and the rules that govern data 
transfer between them. 
Network design Process of creating network architecture for a specific organization and 
situation. It includes network analysis, hardware selection, and 
implementation planning, among other planning processes. 
Network 
infrastructure 
devices 
Components of a network that control communications needed for 
data, applications, services, and multimedia. These devices include 
routers, firewalls, switches, servers, load-balancers, intrusion 
detection systems, domain name systems, and storage area networks. 
Network security Deployment and monitoring of cybersecurity solutions to protect an 
organization’s IT systems from attacks and breaches. 
Network 
segmentation 
A technique for secure network design that splits a larger network into 
smaller segments, also called subnets, usually through switches and 
routers. 
Network switch A device that integrates all devices on a network, allowing for seamless 
sharing and data transfer among them. Connected network devices 
can include everything from firewalls and wireless access points to 
Voice Over Internet Protocol (VoIP) phones, printers, servers, and 
more. 
Proxy server 
(proxy) 
A system or router that provides a gateway between users and the 
internet. When users send requests online, the request travels through 
the proxy server. The proxy server gets the response from the web 
server, and then forwards the data to the user’s browser. 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 24 of 44 
Term Definition 
Rogue access 
point 
A wireless access point that does not belong to the network. An 
attacker can use an unauthorized wireless access points for various 
purposes, such as leaking a business’ sensitive information. 
Role-based access 
control (RBAC) 
scheme 
An access control model in which access control decisions are based 
on the roles assigned to users or groups. 
Router A network’s hardware connection to outside data, usually from the 
internet. That data travels from a modem to a router, which then 
directs the outside data to network devices. 
Spoofing An attack in which an attacker uses a device or network to trick other 
computer networks into believing they are a legitimate entity. This 
deception allows them to take over the devices to use in attacks or 
gain access to sensitive data. 
Wi-Fi Protected 
Access (WPA) 
A type of router encryption that scrambles the encryption key and is 
more secure than WEP. 
Wi-Fi Protected 
Access 2 (WPA2) 
A type of router encryption that scrambles the encryption key and does 
not allow the use of a less secure protocol. 
Wired Equivalent 
Privacy (WEP) 
A type of router encryption that uses radio waves and the same 
encryption key for every data packet. 
Zero-day attack An attack in which the attacker exploits a software vulnerability 
unknown to the software’s creator before the creator can release a 
patch to fix it. 
 
Questions I have 
 
 
 
 
 
 
 
 
 
 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
My notes 
Page 25 of 44 
IBM SkillsBuild Cybersecurity Certificate:    
Glossary 
Page 26 of 44 
Module 7: Cloud Computing and Virtualization 
Term Definition 
Cloud as a service 
(CaaS) 
Application and infrastructure resources that reside on the internet. 
Database as a 
service (DBaaS) 
A cloud computing service that provides users with access to a fully 
managed database system through a CSP. With DBaaS, users can 
access a database without setting up physical hardware, installing 
software, or configuring it for performance. 
